timestamp,node_id,node_tier,latitude,longitude,elevation_m,vertical_displacement_mm,horizontal_displacement_mm,vertical_displacement_rate_mm_per_time,horizontal_displacement_rate_mm_per_time,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,tilt_change_deg,tilt_rate_deg_per_time
2026-01-01 00:00:00,N_GNSS_01,GNSS Reference,23.7421,86.41230027,245.2002,-0.178,27.384,0.0,0.0,0.02908,-0.014471,0.032481,0.0,0.0
2026-01-01 00:00:00,N_GNSS_02,GNSS Reference,23.74284996,86.41315019,247.8501,-0.127,19.745,0.0,0.0,0.027496,-0.016117,0.031871,0.0,0.0
2026-01-01 00:00:00,N_GNSS_03,GNSS Reference,23.74154996,86.41405013,243.599,0.975,14.385,0.0,0.0,0.029899,-0.016937,0.034362,0.0,0.0
2026-01-01 00:00:00,N_GNSS_04,GNSS Reference,23.74330006,86.4147003,249.0988,1.166,31.627,0.0,0.0,0.029012,-0.01488,0.032606,0.0,0.0
2026-01-01 00:00:00,N_GNSS_05,GNSS Reference,23.74094989,86.41300022,241.7498,0.202,26.135,0.0,0.0,0.030752,-0.015953,0.034644,0.0,0.0
2026-01-01 00:00:00,N_GNSS_06,GNSS Reference,23.74384986,86.41205025,251.3493,0.724,30.215,0.0,0.0,0.031106,-0.017948,0.035912,0.0,0.0
2026-01-01 00:10:00,N_GNSS_01,GNSS Reference,23.74210012,86.41230024,245.2006,-0.585,28.047,-2.444,3.982,0.030978,-0.018938,0.036308,0.003827,0.022962
2026-01-01 00:10:00,N_GNSS_02,GNSS Reference,23.74285,86.41315025,247.8501,-0.083,25.729,0.265,35.899,0.030264,-0.017215,0.034817,0.002946,0.017676
2026-01-01 00:10:00,N_GNSS_03,GNSS Reference,23.74155004,86.4140503,243.6006,-0.603,31.321,-9.47,101.621,0.029376,-0.01606,0.03348,-0.000882,-0.005295
2026-01-01 00:10:00,N_GNSS_04,GNSS Reference,23.74330008,86.41470025,249.1001,-0.12,26.696,-7.712,-29.582,0.030323,-0.016024,0.034296,0.001691,0.010143
2026-01-01 00:10:00,N_GNSS_05,GNSS Reference,23.74095004,86.4130003,241.7495,0.488,31.078,1.716,29.658,0.030198,-0.016285,0.034309,-0.000335,-0.002008
2026-01-01 00:10:00,N_GNSS_06,GNSS Reference,23.74384996,86.41205028,251.35,0.009,29.131,-4.289,-6.504,0.030968,-0.015455,0.03461,-0.001303,-0.007816
2026-01-01 00:20:00,N_GNSS_01,GNSS Reference,23.74210009,86.41230023,245.1987,1.304,25.449,11.337,-15.589,0.031982,-0.015624,0.035595,-0.000714,-0.004282
