timestamp,node_id,node_tier,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,tilt_change_deg,tilt_rate_deg_per_time,acceleration_mps2,peak_acceleration_mps2,rms_acceleration_mps2,dominant_frequency_hz,vibration_duration_s
2026-01-01 00:00:00,N_LITE_01,Lite,0.034964,-0.018188,0.039411,0.0,0.0,0.043113,0.058462,0.033681,18.0559,0.4675
2026-01-01 00:00:00,N_LITE_02,Lite,0.036138,-0.019991,0.041299,0.0,0.0,0.07459,0.101647,0.057309,26.3602,2.5834
2026-01-01 00:00:00,N_LITE_03,Lite,0.034147,-0.01637,0.037868,0.0,0.0,0.043762,0.060645,0.031268,18.527,0.4103
2026-01-01 00:00:00,N_LITE_04,Lite,0.0342,-0.019796,0.039516,0.0,0.0,0.048818,0.06755,0.035179,17.429,0.2156
2026-01-01 00:00:00,N_LITE_05,Lite,0.034113,-0.018224,0.038675,0.0,0.0,0.036748,0.045451,0.028132,18.5689,0.739
2026-01-01 00:00:00,N_LITE_06,Lite,0.035004,-0.017163,0.038986,0.0,0.0,0.045287,0.06546,0.037175,19.2062,0.2456
2026-01-01 00:10:00,N_LITE_01,Lite,0.037263,-0.018625,0.041658,0.002247,0.013483,0.087603,0.105547,0.072244,28.9509,2.9546
2026-01-01 00:10:00,N_LITE_02,Lite,0.034314,-0.019407,0.039422,-0.001877,-0.011262,0.045335,0.063738,0.032297,17.0622,0.5845
2026-01-01 00:10:00,N_LITE_03,Lite,0.035185,-0.017672,0.039374,0.001506,0.009034,0.054538,0.067856,0.045879,18.5569,0.7844
2026-01-01 00:10:00,N_LITE_04,Lite,0.037288,-0.01962,0.042135,0.002618,0.01571,0.050164,0.065332,0.042701,17.9847,0.6197
2026-01-01 00:10:00,N_LITE_05,Lite,0.035649,-0.018118,0.039989,0.001313,0.007881,0.041312,0.058314,0.032626,17.8574,0.2877
2026-01-01 00:10:00,N_LITE_06,Lite,0.035246,-0.017387,0.039302,0.000316,0.001896,0.052008,0.07219,0.041803,18.3962,0.3428
2026-01-01 00:20:00,N_LITE_01,Lite,0.036903,-0.018906,0.041464,-0.000194,-0.001164,0.050667,0.072507,0.038969,19.4897,0.3379
2026-01-01 00:20:00,N_LITE_02,Lite,0.033787,-0.017749,0.038165,-0.001256,-0.007538,0.04564,0.062784,0.033278,17.3825,0.5395
2026-01-01 00:20:00,N_LITE_03,Lite,0.035377,-0.01898,0.040147,0.000773,0.004638,0.053684,0.073942,0.04424,18.5214,0.5485
2026-01-01 00:20:00,N_LITE_04,Lite,0.035717,-0.017784,0.039899,-0.002235,-0.013411,0.043514,0.058703,0.037351,17.9818,0.6172
2026-01-01 00:20:00,N_LITE_05,Lite,0.035867,-0.016916,0.039656,-0.000333,-0.001997,0.040895,0.051854,0.035361,16.9075,0.4482
2026-01-01 00:20:00,N_LITE_06,Lite,0.035216,-0.018341,0.039706,0.000405,0.002427,0.046094,0.056132,0.034318,17.8019,0.7404
2026-01-01 00:30:00,N_LITE_01,Lite,0.035512,-0.018037,0.03983,-0.001634,-0.009804,0.041687,0.050931,0.035,19.1609,0.4691
2026-01-01 00:30:00,N_LITE_02,Lite,0.035473,-0.01836,0.039943,0.001777,0.010664,0.085973,0.106829,0.075484,23.4128,1.3922
2026-01-01 00:30:00,N_LITE_03,Lite,0.036445,-0.018581,0.040908,0.000761,0.004566,0.052564,0.061774,0.039284,19.7569,0.4428
2026-01-01 00:30:00,N_LITE_04,Lite,0.036322,-0.02019,0.041556,0.001656,0.009939,0.058582,0.078678,0.051062,19.7571,0.607
2026-01-01 00:30:00,N_LITE_05,Lite,0.035343,-0.01819,0.03975,9.4e-05,0.000561,0.052175,0.073251,0.038019,17.6399,0.3159
2026-01-01 00:30:00,N_LITE_06,Lite,0.035999,-0.019426,0.040906,0.001199,0.007196,0.091921,0.121488,0.070907,24.4956,3.1079
2026-01-01 00:40:00,N_LITE_01,Lite,0.032643,-0.018107,0.037329,-0.002502,-0.01501,0.052151,0.061301,0.045756,17.3976,0.5697
2026-01-01 00:40:00,N_LITE_02,Lite,0.036033,-0.019203,0.04083,0.000887,0.005324,0.049984,0.06703,0.038417,18.6593,0.248
2026-01-01 00:40:00,N_LITE_03,Lite,0.036257,-0.017798,0.040389,-0.000518,-0.003111,0.047844,0.058747,0.038293,18.8208,0.4079
2026-01-01 00:40:00,N_LITE_04,Lite,0.035718,-0.017828,0.03992,-0.001636,-0.009814,0.047557,0.064542,0.033402,17.4072,0.4499
2026-01-01 00:40:00,N_LITE_05,Lite,0.035848,-0.018997,0.040571,0.000821,0.004928,0.062,0.079061,0.052995,17.8239,0.7096
2026-01-01 00:40:00,N_LITE_06,Lite,0.039049,-0.021395,0.044526,0.003621,0.021724,0.058131,0.07479,0.05105,18.537,0.2718
2026-01-01 00:50:00,N_LITE_01,Lite,0.036835,-0.018143,0.041061,0.003732,0.022391,0.057238,0.078527,0.048402,19.1092,0.3754
2026-01-01 00:50:00,N_LITE_02,Lite,0.036824,-0.018497,0.041208,0.000378,0.00227,0.034853,0.04274,0.024797,18.9626,0.3913
2026-01-01 00:50:00,N_LITE_03,Lite,0.035728,-0.018826,0.040384,-5e-06,-3e-05,0.046887,0.064606,0.033033,17.8878,0.2802
