timestamp,node_id,node_tier,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,tilt_change_deg,tilt_rate_deg_per_time,acceleration_mps2,peak_acceleration_mps2,rms_acceleration_mps2,dominant_frequency_hz,vibration_duration_s,displacement_mm,displacement_change_mm,displacement_rate_mm_per_time,cumulative_displacement_mm,crack_detected,crack_opening_mm,crack_opening_change_mm,crack_growth_rate_mm_per_time
2026-01-01 00:00:00,N_FULL_01,Full,0.034964,-0.018188,0.039411,0.0,0.0,0.043113,0.058462,0.033681,18.0559,0.4675,0.0828,0.0,0.0,0.0828,0,0.0019,0.0,0.0
2026-01-01 00:00:00,N_FULL_02,Full,0.035384,-0.01747,0.039462,0.0,0.0,0.055822,0.072986,0.04789,18.1511,0.2048,0.0034,0.0,0.0,0.0034,0,0.0,0.0,0.0
2026-01-01 00:00:00,N_FULL_03,Full,0.033824,-0.018706,0.038652,0.0,0.0,0.050661,0.065766,0.042946,18.0553,0.3527,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-01-01 00:00:00,N_FULL_04,Full,0.035249,-0.019482,0.040274,0.0,0.0,0.040292,0.049242,0.032501,16.7227,0.3886,0.0037,0.0,0.0,0.0037,0,0.0,0.0,0.0
2026-01-01 00:00:00,N_FULL_05,Full,0.034318,-0.019378,0.039411,0.0,0.0,0.047346,0.061717,0.039553,17.9816,0.2456,0.0,0.0,0.0,0.0,0,0.0013,0.0,0.0
2026-01-01 00:00:00,N_FULL_06,Full,0.037735,-0.018249,0.041916,0.0,0.0,0.054099,0.0709,0.044485,17.6611,0.2729,0.0,0.0,0.0,0.0,0,0.0008,0.0,0.0
2026-01-01 00:10:00,N_FULL_01,Full,0.037263,-0.018625,0.041658,0.002247,0.013483,0.09212,0.110989,0.075969,28.9509,2.9546,0.0,-0.0828,-0.4965,0.0828,0,0.0,0.0,0.0
2026-01-01 00:10:00,N_FULL_02,Full,0.03284,-0.01865,0.037767,-0.001695,-0.01017,0.045287,0.057445,0.035028,19.449,0.2028,0.0094,0.006,0.036,0.0094,0,0.0003,0.0,0.0
2026-01-01 00:10:00,N_FULL_03,Full,0.036235,-0.017837,0.040387,0.001735,0.010413,0.048424,0.059384,0.042053,18.5698,0.6026,0.0,0.0,0.0,0.0,0,0.0025,0.0,0.0
2026-01-01 00:10:00,N_FULL_04,Full,0.035539,-0.018014,0.039844,-0.000431,-0.002584,0.044268,0.053251,0.03539,16.9884,0.79,0.0495,0.0458,0.2751,0.0495,0,0.0015,0.0,0.0
2026-01-01 00:10:00,N_FULL_05,Full,0.034114,-0.017972,0.038558,-0.000853,-0.005117,0.047879,0.066803,0.041964,18.6895,0.5495,0.0788,0.0788,0.4728,0.0788,0,0.0031,0.0,0.0
2026-01-01 00:10:00,N_FULL_06,Full,0.034501,-0.017476,0.038674,-0.003242,-0.01945,0.040615,0.055071,0.033376,17.2409,0.4439,0.0454,0.0454,0.2722,0.0454,0,0.0016,0.0,0.0
2026-01-01 00:20:00,N_FULL_01,Full,0.036903,-0.018906,0.041464,-0.000194,-0.001164,0.050667,0.072507,0.038969,19.4897,0.3379,0.0,0.0,0.0,0.0828,0,0.0,0.0,0.0
2026-01-01 00:20:00,N_FULL_02,Full,0.03514,-0.019291,0.040087,0.00232,0.013922,0.053054,0.068441,0.039448,17.3258,0.3056,0.0503,0.0409,0.2452,0.0503,0,0.0012,0.0,0.0
